Date,Temperature_High,Temperature_Low,Precipitation,Wind_Speed,Visibility,Weather_Condition
2017-10-17,48.1,31.9,0.04,14.9,9.5,Clear
2017-10-18,37.3,19.9,0.0,10.7,10.0,Clear
2017-10-19,58.3,45.5,0.03,16.2,9.4,Clear
2017-10-20,54.7,47.9,0.0,10.3,9.5,Clear
2017-10-21,26.7,4.3,0.0,9.6,10.0,Clear
2017-10-22,70.5,46.6,0.0,12.8,10.0,Clear
2017-10-23,62.5,40.7,0.0,9.6,9.9,Clear
2017-10-24,44.2,16.5,0.0,12.2,9.9,Clear
2017-10-25,32.7,25.9,0.0,6.9,9.7,Clear
2017-10-26,48.6,41.2,0.0,6.8,10.0,Clear
2017-10-27,15.0,0.3,0.0,17.4,10.0,Clear
2017-10-28,23.1,13.2,0.0,12.1,9.9,Clear
2017-10-29,66.9,51.6,0.14,9.7,9.6,Clear
2017-10-30,39.3,24.5,0.0,5.3,9.7,Clear
2017-10-31,54.2,52.5,0.0,19.2,10.0,Clear
2017-11-01,19.2,11.3,0.0,4.3,10.0,Clear
2017-11-02,44.4,33.3,0.0,13.9,10.0,Clear
2017-11-03,27.9,15.5,0.0,11.9,10.0,Clear
2017-11-04,47.0,36.7,0.0,6.2,10.0,Clear
2017-11-05,50.1,32.1,0.01,6.5,10.0,Clear
2017-11-06,41.4,32.6,0.0,2.6,9.8,Clear
2017-11-07,29.6,10.8,0.0,2.1,9.9,Clear
2017-11-08,39.5,25.0,0.0,16.3,9.9,Clear
2017-11-09,36.8,11.0,0.02,13.5,7.9,Clear
2017-11-10,23.9,8.4,0.0,1.6,9.5,Clear
2017-11-11,41.9,29.3,0.01,12.2,8.9,Clear
2017-11-12,52.3,29.5,0.0,1.2,10.0,Clear
2017-11-13,23.0,5.4,0.09,4.5,9.6,Clear
2017-11-14,26.3,18.0,0.0,12.6,9.8,Clear
2017-11-15,17.7,2.2,0.0,9.5,9.5,Clear
2017-11-16,34.9,23.2,0.0,18.2,10.0,Clear
2017-11-17,27.6,12.8,0.0,25.8,9.9,Windy
2017-11-18,39.4,21.7,0.0,13.0,10.0,Clear
2017-11-19,18.4,3.8,0.08,13.0,9.2,Clear
2017-11-20,39.4,19.0,0.0,5.7,9.9,Clear
2017-11-21,39.9,20.8,0.12,9.2,8.5,Clear
2017-11-22,44.6,30.1,0.0,16.0,9.8,Clear
2017-11-23,28.0,15.1,0.12,6.5,9.1,Clear
2017-11-24,31.0,18.2,0.0,4.8,9.6,Clear
2017-11-25,43.1,34.9,0.2,12.7,8.6,Clear
2017-11-26,39.6,24.4,0.0,5.4,9.8,Clear
2017-11-27,46.4,33.6,0.0,21.7,9.9,Windy
2017-11-28,29.1,18.1,0.04,1.0,9.8,Clear
2017-11-29,19.8,5.6,0.0,4.1,9.9,Clear
2017-11-30,20.5,3.6,0.0,18.4,9.9,Clear
2017-12-01,47.8,35.3,0.15,5.0,9.7,Clear
2017-12-02,27.7,18.5,0.0,4.0,9.9,Clear
2017-12-03,36.0,19.9,0.0,1.9,10.0,Clear
2017-12-04,27.5,9.6,0.22,12.4,9.5,Clear
2017-12-05,41.8,35.5,0.13,2.6,9.7,Clear
2017-12-06,37.8,28.1,0.19,3.9,9.4,Clear
2017-12-07,37.5,13.3,0.21,12.8,8.6,Clear
2017-12-08,41.7,22.6,0.0,12.1,9.8,Clear
2017-12-09,24.0,6.6,0.0,7.3,9.7,Clear
2017-12-10,31.9,15.0,0.0,6.0,10.0,Clear
2017-12-11,38.5,31.0,0.0,2.3,9.8,Clear
2017-12-12,37.7,24.3,0.0,9.8,9.3,Clear
2017-12-13,42.3,34.5,0.0,5.8,9.8,Clear
2017-12-14,32.1,16.4,0.1,4.6,8.8,Clear
2017-12-15,24.5,7.6,0.0,7.5,9.8,Clear
2017-12-16,9.7,3.2,0.0,6.0,9.9,Clear
2017-12-17,34.4,21.9,0.0,17.9,9.4,Clear
2017-12-18,43.1,29.2,0.0,2.9,9.8,Clear
2017-12-19,14.7,3.2,0.0,15.6,10.0,Clear
2017-12-20,27.9,12.6,0.2,6.9,7.9,Clear
2017-12-21,32.7,18.9,0.0,12.6,9.8,Clear
2017-12-22,34.5,18.5,0.0,13.8,10.0,Clear
2017-12-23,33.8,22.6,0.02,4.4,9.8,Clear
2017-12-24,29.9,18.1,0.0,16.6,9.7,Clear
2017-12-25,54.8,42.3,0.12,11.0,9.4,Clear
2017-12-26,35.0,21.3,0.0,6.0,9.9,Clear
2017-12-27,45.3,25.9,0.0,3.9,10.0,Clear
2017-12-28,30.7,16.6,0.08,4.4,9.0,Clear
2017-12-29,25.4,12.7,0.1,26.4,9.2,Windy
2017-12-30,34.0,21.9,0.0,17.5,9.5,Clear
2017-12-31,43.7,27.7,0.1,25.3,9.8,Windy
2018-01-01,32.6,20.9,0.0,5.6,9.3,Clear
2018-01-02,20.5,8.1,0.0,8.2,9.7,Clear
2018-01-03,52.3,37.1,0.11,9.1,9.8,Clear
2018-01-04,28.5,21.8,0.0,15.9,9.9,Clear
2018-01-05,39.9,32.7,0.0,29.1,9.6,Windy
2018-01-06,29.6,10.2,0.09,22.0,9.7,Windy
2018-01-07,45.3,27.8,0.03,10.1,9.8,Clear
2018-01-08,31.4,10.5,0.2,14.4,9.1,Clear
2018-01-09,3.3,-9.9,0.0,3.0,9.8,Clear
2018-01-10,43.1,31.6,0.35,1.8,9.2,Clear
2018-01-11,29.4,24.9,0.0,10.1,9.9,Clear
2018-01-12,47.4,28.1,0.02,6.4,9.1,Clear
2018-01-13,53.3,33.2,0.01,10.0,9.9,Clear
2018-01-14,40.1,24.8,0.01,14.0,9.6,Clear
2018-01-15,32.2,12.6,0.07,10.8,9.3,Clear
2018-01-16,44.3,34.5,0.11,4.9,9.7,Clear
2018-01-17,52.6,33.3,0.0,12.0,9.9,Clear
2018-01-18,43.4,26.8,0.0,17.7,9.8,Clear
2018-01-19,45.8,22.7,0.11,16.7,9.4,Clear
2018-01-20,31.7,13.9,0.04,10.8,9.1,Clear
2018-01-21,41.7,23.5,0.17,9.1,9.5,Clear
2018-01-22,24.5,15.9,0.0,1.6,9.9,Clear
2018-01-23,28.7,20.3,0.01,24.1,9.7,Windy
2018-01-24,45.5,25.5,0.0,6.4,10.0,Clear
2018-01-25,24.1,16.8,0.09,34.2,9.0,Windy
2018-01-26,43.2,29.5,0.0,11.1,9.5,Clear
2018-01-27,28.7,15.1,0.03,3.4,9.6,Clear
2018-01-28,25.6,6.0,0.0,1.8,9.9,Clear
2018-01-29,35.6,21.4,0.0,9.0,10.0,Clear
2018-01-30,23.9,16.9,0.0,11.5,9.7,Clear
2018-01-31,31.8,16.5,0.0,9.1,9.6,Clear
2018-02-01,43.4,31.9,0.0,4.7,9.6,Clear
2018-02-02,35.5,16.8,0.15,14.7,9.1,Clear
2018-02-03,33.0,16.8,0.09,4.2,9.2,Clear
2018-02-04,35.5,18.2,0.0,19.0,9.9,Clear
2018-02-05,55.6,33.3,0.44,1.5,8.5,Clear
2018-02-06,25.4,20.0,0.0,12.6,10.0,Clear
2018-02-07,56.4,44.3,0.04,3.3,9.5,Clear
2018-02-08,42.9,35.7,0.0,11.7,9.9,Clear
2018-02-09,62.1,43.6,0.0,28.3,10.0,Windy
2018-02-10,46.9,31.5,0.12,9.5,9.5,Clear
2018-02-11,27.6,16.3,0.0,19.1,9.5,Clear
2018-02-12,36.8,28.9,0.49,8.8,8.7,Clear
2018-02-13,50.4,39.1,0.0,9.9,9.7,Clear
2018-02-14,50.1,30.3,0.04,4.2,8.5,Clear
2018-02-15,30.1,24.3,0.06,12.1,9.5,Clear
2018-02-16,43.8,24.6,0.0,6.1,10.0,Clear
2018-02-17,48.9,36.1,0.0,18.4,9.7,Clear
2018-02-18,38.1,18.1,0.05,12.3,8.0,Clear
2018-02-19,36.2,15.8,0.2,11.8,9.3,Clear
2018-02-20,59.5,41.8,0.07,3.2,9.8,Clear
2018-02-21,43.0,27.8,0.0,12.2,9.9,Clear
2018-02-22,17.7,1.2,0.1,12.3,9.7,Clear
2018-02-23,34.2,22.6,0.0,7.9,9.8,Clear
2018-02-24,41.4,27.9,0.0,8.4,9.7,Clear
2018-02-25,40.7,33.3,0.0,15.7,9.9,Clear
2018-02-26,34.8,20.9,0.05,12.3,9.9,Clear
2018-02-27,56.5,44.4,0.03,9.1,9.9,Clear
2018-02-28,38.2,28.2,0.0,8.1,9.6,Clear
2018-03-01,49.6,39.3,0.04,7.3,9.7,Clear
2018-03-02,67.5,45.1,0.0,7.1,9.7,Clear
2018-03-03,62.3,52.9,0.03,7.8,9.4,Clear
2018-03-04,60.6,44.2,0.0,14.6,9.9,Clear
2018-03-05,56.4,44.8,0.0,6.9,9.7,Clear
2018-03-06,53.2,42.3,0.04,19.8,9.4,Clear
2018-03-07,48.3,35.5,0.11,4.2,9.7,Clear
2018-03-08,62.1,44.1,0.02,20.0,9.5,Clear
2018-03-09,60.3,39.1,0.0,4.8,9.8,Clear
2018-03-10,63.6,41.0,0.0,12.1,10.0,Clear
2018-03-11,60.4,46.5,0.05,1.4,8.5,Clear
2018-03-12,35.9,23.3,0.22,6.4,9.4,Clear
2018-03-13,58.9,42.6,0.0,7.3,9.9,Clear
2018-03-14,59.2,41.8,0.0,14.0,10.0,Clear
2018-03-15,60.2,45.0,0.0,11.2,10.0,Clear
2018-03-16,50.9,29.7,0.0,8.5,9.8,Clear
2018-03-17,38.9,23.6,0.0,14.2,9.7,Clear
2018-03-18,62.3,48.0,0.03,2.7,7.5,Clear
2018-03-19,56.9,46.1,0.0,10.1,9.8,Clear
2018-03-20,45.5,33.1,0.0,3.0,10.0,Clear
2018-03-21,52.2,33.9,0.0,2.0,9.9,Clear
2018-03-22,49.5,38.5,0.0,1.5,9.8,Clear
2018-03-23,75.6,54.8,0.09,5.2,9.3,Clear
2018-03-24,62.8,51.3,0.0,30.0,9.7,Windy
2018-03-25,74.1,55.3,0.0,5.3,10.0,Clear
2018-03-26,73.7,62.0,0.0,8.9,10.0,Clear
2018-03-27,77.9,66.5,0.02,1.2,9.3,Clear
2018-03-28,53.4,29.1,0.0,6.3,9.6,Clear
2018-03-29,66.7,45.7,0.0,1.0,9.9,Clear
2018-03-30,66.0,59.9,0.28,5.7,8.5,Clear
2018-03-31,49.2,31.6,0.0,5.3,10.0,Clear
2018-04-01,67.7,54.6,0.0,24.3,10.0,Windy
2018-04-02,61.6,51.6,0.0,10.4,9.4,Clear
2018-04-03,56.9,46.4,0.24,4.0,9.2,Clear
2018-04-04,57.9,45.6,0.24,8.2,9.1,Clear
2018-04-05,50.0,40.2,0.0,8.8,10.0,Clear
2018-04-06,73.3,66.1,0.0,5.4,9.9,Clear
2018-04-07,57.6,39.7,0.0,11.7,9.9,Clear
2018-04-08,68.8,57.5,0.0,4.1,9.9,Clear
2018-04-09,66.7,50.9,0.0,4.1,9.9,Clear
2018-04-10,71.0,53.8,0.0,15.6,9.8,Clear
2018-04-11,63.5,48.1,0.0,7.2,9.7,Clear
2018-04-12,84.8,73.1,0.04,4.2,9.6,Clear
2018-04-13,74.8,61.1,0.0,6.2,9.2,Clear
2018-04-14,77.2,62.5,0.0,4.4,9.9,Clear
2018-04-15,75.5,64.3,0.0,20.0,10.0,Clear
2018-04-16,67.3,61.5,0.0,9.7,9.8,Clear
2018-04-17,69.0,47.6,0.0,2.7,9.7,Clear
2018-04-18,75.1,55.9,0.0,5.9,9.2,Clear
2018-04-19,71.0,58.0,0.22,3.6,9.1,Clear
2018-04-20,79.0,63.9,0.0,21.2,9.2,Windy
2018-04-21,86.7,64.6,0.21,2.8,9.2,Clear
2018-04-22,73.1,49.2,0.0,9.9,9.7,Clear
2018-04-23,79.5,66.0,0.0,26.3,9.9,Windy
2018-04-24,80.1,65.9,0.0,19.9,9.6,Clear
2018-04-25,67.0,54.5,0.0,5.2,9.9,Clear
2018-04-26,73.3,54.5,0.0,19.4,9.6,Clear
2018-04-27,81.9,67.0,0.0,11.0,9.8,Clear
2018-04-28,70.4,57.4,0.0,12.2,9.8,Clear
2018-04-29,79.9,55.2,0.0,16.9,9.6,Clear
2018-04-30,65.9,47.3,0.0,13.4,9.5,Clear
2018-05-01,86.2,61.7,0.06,17.7,9.6,Clear
2018-05-02,78.6,66.3,0.0,7.8,9.9,Clear
2018-05-03,75.9,57.1,0.0,14.1,9.3,Clear
2018-05-04,86.8,76.4,0.0,17.5,9.6,Clear
2018-05-05,84.4,72.6,0.0,7.0,9.9,Clear
2018-05-06,77.9,58.9,0.0,1.6,9.7,Clear
2018-05-07,86.0,66.5,0.0,7.7,10.0,Clear
2018-05-08,80.4,65.0,0.18,18.3,9.6,Clear
2018-05-09,92.2,74.7,0.0,13.3,9.9,Clear
2018-05-10,109.6,87.3,0.0,6.3,9.9,Clear
2018-05-11,99.2,77.6,0.0,3.4,10.0,Clear
2018-05-12,91.2,77.5,0.0,22.0,9.8,Windy
2018-05-13,89.8,75.4,0.0,7.2,10.0,Clear
2018-05-14,79.7,68.2,0.0,7.0,9.8,Clear
2018-05-15,63.7,53.1,0.0,4.7,10.0,Clear
2018-05-16,81.6,70.3,0.0,11.8,9.5,Clear
2018-05-17,112.2,101.1,0.0,7.1,9.9,Clear
2018-05-18,96.0,80.9,0.0,6.0,9.9,Clear
2018-05-19,79.0,59.8,0.0,7.2,9.9,Clear
2018-05-20,80.9,65.2,0.0,9.3,10.0,Clear
2018-05-21,79.9,69.0,0.0,0.7,9.9,Clear
2018-05-22,85.0,69.6,0.04,9.5,9.7,Clear
2018-05-23,90.9,76.4,0.0,8.5,9.8,Clear
2018-05-24,90.6,72.4,0.23,8.7,9.5,Clear
2018-05-25,79.5,73.0,0.0,4.8,10.0,Clear
2018-05-26,88.8,78.9,0.0,15.2,9.8,Clear
2018-05-27,100.3,76.1,0.0,4.4,9.7,Clear
2018-05-28,101.6,87.8,0.0,1.2,9.9,Clear
2018-05-29,80.9,58.0,0.0,14.4,10.0,Clear
2018-05-30,77.0,63.0,0.0,3.5,9.8,Clear
2018-05-31,83.9,76.0,0.05,18.9,9.3,Clear
2018-06-01,72.1,50.7,0.0,8.2,10.0,Clear
2018-06-02,91.3,78.7,0.0,8.2,9.9,Clear
2018-06-03,77.7,64.5,0.14,1.3,9.7,Clear
2018-06-04,85.3,70.8,0.0,9.9,9.6,Clear
2018-06-05,87.9,70.7,0.0,12.2,9.8,Clear
2018-06-06,68.7,45.8,0.0,10.1,9.9,Clear
2018-06-07,81.3,69.4,0.04,1.0,9.8,Clear
2018-06-08,96.8,71.4,0.0,3.7,9.0,Clear
2018-06-09,92.4,72.9,0.0,2.6,10.0,Clear
2018-06-10,94.5,66.3,0.0,10.1,9.6,Clear
2018-06-11,94.3,77.8,0.16,6.1,8.6,Clear
2018-06-12,93.5,78.6,0.0,10.1,9.9,Clear
2018-06-13,100.2,82.0,0.0,4.5,9.9,Clear
2018-06-14,100.4,84.3,0.0,18.7,9.8,Clear
2018-06-15,86.5,65.7,0.0,7.1,9.6,Clear
2018-06-16,95.9,95.6,0.0,28.4,9.8,Windy
2018-06-17,87.5,74.6,0.0,4.4,9.9,Clear
2018-06-18,99.5,81.9,0.0,12.1,9.7,Clear
2018-06-19,97.1,78.7,0.0,18.5,9.8,Clear
2018-06-20,89.7,79.1,0.05,4.7,9.8,Clear
2018-06-21,88.6,83.0,0.07,9.8,9.2,Clear
2018-06-22,73.9,62.7,0.0,15.3,9.9,Clear
2018-06-23,83.7,70.1,0.0,13.1,9.8,Clear
2018-06-24,90.5,74.1,0.0,3.9,9.9,Clear
2018-06-25,93.3,67.3,0.0,2.5,9.8,Clear
2018-06-26,97.9,87.8,0.0,10.0,10.0,Clear
2018-06-27,103.5,92.2,0.0,15.5,10.0,Clear
2018-06-28,84.5,68.7,0.0,4.9,9.8,Clear
2018-06-29,89.8,79.1,0.04,17.9,9.0,Clear
2018-06-30,99.9,88.2,0.0,15.1,9.3,Clear
2018-07-01,88.1,71.8,0.0,5.1,9.8,Clear
2018-07-02,94.6,83.7,0.0,8.9,10.0,Clear
2018-07-03,91.3,73.2,0.04,18.8,9.6,Clear
2018-07-04,74.7,71.2,0.0,2.2,9.7,Clear
2018-07-05,74.9,53.7,0.0,6.4,9.8,Clear
2018-07-06,99.3,84.7,0.0,16.3,10.0,Clear
2018-07-07,104.8,83.4,0.0,14.7,9.9,Clear
2018-07-08,79.6,61.4,0.0,3.9,10.0,Clear
2018-07-09,74.3,68.0,0.0,9.1,9.9,Clear
2018-07-10,86.0,76.0,0.0,14.4,10.0,Clear
2018-07-11,64.0,46.3,0.0,8.1,9.9,Clear
2018-07-12,95.1,76.5,0.0,6.9,10.0,Clear
2018-07-13,89.7,69.7,0.0,4.4,9.9,Clear
2018-07-14,89.2,73.9,0.0,13.5,9.9,Clear
2018-07-15,94.1,81.1,0.0,7.2,9.9,Clear
2018-07-16,85.3,62.0,0.32,8.5,9.3,Clear
2018-07-17,89.2,80.5,0.0,5.0,9.8,Clear
2018-07-18,90.6,68.5,0.0,12.0,9.8,Clear
2018-07-19,97.8,86.9,0.0,2.6,9.9,Clear
2018-07-20,89.5,71.4,0.02,3.1,9.6,Clear
2018-07-21,84.3,69.3,0.0,1.6,9.9,Clear
2018-07-22,83.8,62.0,0.0,5.2,9.9,Clear
2018-07-23,84.5,67.3,0.0,11.0,10.0,Clear
2018-07-24,69.1,51.8,0.0,4.5,9.2,Clear
2018-07-25,86.4,68.6,0.0,5.1,9.4,Clear
2018-07-26,88.8,73.7,0.0,7.8,9.9,Clear
2018-07-27,71.8,49.8,0.0,18.5,9.7,Clear
2018-07-28,80.8,65.8,0.04,2.6,9.0,Clear
2018-07-29,89.6,77.0,0.0,10.2,9.9,Clear
2018-07-30,75.3,58.6,0.0,14.1,10.0,Clear
2018-07-31,81.1,69.4,0.0,20.1,9.5,Windy
2018-08-01,83.6,65.6,0.0,4.6,9.9,Clear
2018-08-02,90.1,81.2,0.0,14.0,10.0,Clear
2018-08-03,66.6,51.5,0.0,9.8,8.5,Clear
2018-08-04,79.6,72.3,0.0,28.8,9.7,Windy
2018-08-05,72.2,63.8,0.0,21.2,9.9,Windy
2018-08-06,76.7,59.7,0.0,2.4,9.6,Clear
2018-08-07,54.4,38.4,0.0,5.6,9.7,Clear
2018-08-08,89.6,79.4,0.0,11.4,9.9,Clear
2018-08-09,74.6,60.0,0.0,13.6,9.3,Clear
2018-08-10,53.7,42.3,0.0,3.3,10.0,Clear
2018-08-11,85.7,76.4,0.0,6.8,9.9,Clear
2018-08-12,89.8,70.5,0.0,12.7,9.5,Clear
2018-08-13,72.1,50.0,0.0,5.0,9.8,Clear
2018-08-14,79.9,62.5,0.0,5.2,10.0,Clear
2018-08-15,83.7,76.2,0.0,16.3,9.9,Clear
2018-08-16,84.8,81.4,0.0,9.4,9.8,Clear
2018-08-17,73.2,49.2,0.0,17.5,9.9,Clear
2018-08-18,85.2,72.8,0.0,12.3,9.2,Clear
2018-08-19,79.9,61.0,0.0,13.1,9.9,Clear
2018-08-20,75.9,58.6,0.0,5.3,10.0,Clear
2018-08-21,59.4,46.2,0.0,9.6,10.0,Clear
2018-08-22,87.3,63.2,0.0,8.6,9.7,Clear
2018-08-23,52.1,31.7,0.0,3.0,9.8,Clear
2018-08-24,63.1,51.3,0.0,14.4,9.6,Clear
2018-08-25,69.1,53.3,0.0,3.4,9.8,Clear
2018-08-26,61.3,40.2,0.0,3.9,9.7,Clear
2018-08-27,66.4,60.0,0.0,5.8,9.4,Clear
2018-08-28,69.7,47.8,0.0,18.1,9.9,Clear
2018-08-29,66.7,50.4,0.0,5.5,10.0,Clear
2018-08-30,53.7,45.3,0.0,8.8,9.9,Clear
2018-08-31,78.8,58.6,0.0,3.0,10.0,Clear
2018-09-01,52.8,46.5,0.0,7.5,9.3,Clear
2018-09-02,61.7,45.8,0.3,5.3,8.9,Clear
2018-09-03,65.7,57.2,0.34,14.9,8.8,Clear
2018-09-04,76.1,53.4,0.0,13.3,9.4,Clear
2018-09-05,52.0,38.1,0.0,10.3,9.8,Clear
2018-09-06,64.6,49.8,0.0,6.4,9.9,Clear
2018-09-07,50.2,37.1,0.0,11.4,10.0,Clear
2018-09-08,65.7,51.5,0.14,7.5,9.4,Clear
2018-09-09,73.7,49.9,0.0,20.8,9.7,Windy
2018-09-10,68.5,50.6,0.03,4.6,9.9,Clear
2018-09-11,55.7,32.1,0.0,6.5,10.0,Clear
2018-09-12,68.9,51.5,0.0,2.2,9.7,Clear
2018-09-13,65.4,49.6,0.05,25.0,9.5,Windy
2018-09-14,45.7,29.2,0.0,10.5,9.9,Clear
2018-09-15,69.5,61.2,0.0,13.7,9.9,Clear
2018-09-16,67.2,51.3,0.17,5.6,9.5,Clear
2018-09-17,43.6,32.0,0.0,8.4,10.0,Clear
2018-09-18,55.8,33.6,0.0,4.6,10.0,Clear
2018-09-19,55.3,37.6,0.0,3.3,9.8,Clear
2018-09-20,56.4,44.5,0.0,9.0,9.9,Clear
2018-09-21,42.6,22.4,0.0,5.7,9.5,Clear
